index,lexeme,cell,phon_form,alignment,stem,exponents,method
212,Catholic,4,C a t h o l i c s,5 6 7 8 9 10 11 12 14,- C a t h o l i c -,- s,"User features, features similarity, Progressive alignment"
213,Caucasian,0,C a u c a s i a n,0 1 2 3 4 5 6 7 8,C a u c a s i a n -,-,"User features, features similarity, Progressive alignment"
214,Caucasian,1,C a u c a s i a n s,0 1 2 3 4 5 6 7 8 9,C a u c a s i a n -,- s,"User features, features similarity, Progressive alignment"
215,Celsius,0,C e l s i u s,0 1 2 3 4 5 6,C e l s i u s,-,"User features, features similarity, Progressive alignment"
216,Celt,0,C e l t,0 1 2 3,C e l t -,-,"User features, features similarity, Progressive alignment"
217,Celt,1,C e l t i c,0 1 2 3 4 5,C e l t -,- i c,"User features, features similarity, Progressive alignment"
218,Celt,2,C e l t s,0 1 2 3 4,C e l t -,- s,"User features, features similarity, Progressive alignment"
219,Celtic,0,C e l t i c,0 1 2 3 4 5,C e l t i c,-,"User features, features similarity, Progressive alignment"
220,Chablis,0,C h a b l i s,0 1 2 3 4 5 6,C h a b l i s,-,"User features, features similarity, Progressive alignment"
221,Chadian,0,C h a d i a n,0 1 2 3 4 5 6,C h a d i a n -,-,"User features, features similarity, Progressive alignment"
222,Chadian,1,C h a d i a n s,0 1 2 3 4 5 6 7,C h a d i a n -,- s,"User features, features similarity, Progressive alignment"
223,Charleston,0,C h a r l e s t o n,0 1 2 3 4 5 6 7 8 9,C h a r l e s t o n -,-,"User features, features similarity, Progressive alignment"
224,Charleston,1,C h a r l e s t o n s,0 1 2 3 4 5 6 7 8 9 10,C h a r l e s t o n -,- s,"User features, features similarity, Progressive alignment"
225,Chianti,0,C h i a n t i,0 1 2 3 4 5 6,C h i a n t i,-,"User features, features similarity, Progressive alignment"
226,Chilean,0,C h i l e a n,0 1 2 3 4 5 6,C h i l e a n -,-,"User features, features similarity, Progressive alignment"
227,Chilean,1,C h i l e a n s,0 1 2 3 4 5 6 7,C h i l e a n -,- s,"User features, features similarity, Progressive alignment"
228,Chinese,0,C h i n e s e,0 1 2 3 4 5 6,C h i n e s e,-,"User features, features similarity, Progressive alignment"
229,Chink,0,C h i n k,0 1 2 3 4,C h i n k -,-,"User features, features similarity, Progressive alignment"
230,Chink,1,C h i n k s,0 1 2 3 4 5,C h i n k -,- s,"User features, features similarity, Progressive alignment"
231,Chippendale,0,C h i p p e n d a l e,0 1 2 3 4 5 6 7 8 9 10,C h i p p e n d a l e,-,"User features, features similarity, Progressive alignment"
232,Christian,0,C h r i s t i a n,2 3 4 5 6 7 8 9 10,- h r i s t i a n -,C -,"User features, features similarity, Progressive alignment"
233,Christian,1,C h r i s t i a n i t y,2 3 4 5 6 7 8 9 10 11 12 13,- h r i s t i a n -,C - i t y,"User features, features similarity, Progressive alignment"
234,Christian,2,C h r i s t i a n s,2 3 4 5 6 7 8 9 10 12,- h r i s t i a n -,C - s,"User features, features similarity, Progressive alignment"
235,Christian,3,u n c h r i s t i a n,0 1 2 3 4 5 6 7 8 9 10,- h r i s t i a n -,u n c -,"User features, features similarity, Progressive alignment"
236,Cinderella,0,C i n d e r e l l a,0 1 2 3 4 5 6 7 8 9,C i n d e r e l l a -,-,"User features, features similarity, Progressive alignment"
237,Cinderella,1,C i n d e r e l l a s,0 1 2 3 4 5 6 7 8 9 10,C i n d e r e l l a -,- s,"User features, features similarity, Progressive alignment"
238,Coca-Cola,0,C o c a - C o l a,0 1 2 3 4 5 6 7,C o c a C o l a -,-,"User features, features similarity, Progressive alignment"
239,Coca-Cola,1,C o c a - C o l a s,0 1 2 3 4 5 6 7 8,C o c a C o l a -,- s,"User features, features similarity, Progressive alignment"
240,Colombian,0,C o l o m b i a n,0 1 2 3 4 5 6 7 8,C o l o m b i a n -,-,"User features, features similarity, Progressive alignment"
241,Colombian,1,C o l o m b i a n s,0 1 2 3 4 5 6 7 8 9,C o l o m b i a n -,- s,"User features, features similarity, Progressive alignment"
242,Colonel Blimp,0,B l i m p,0 1 2 3 4,B l i m p -,-,"User features, features similarity, Progressive alignment"
243,Colonel Blimp,1,B l i m p i s h,0 1 2 3 4 5 6 7,B l i m p -,- i s h,"User features, features similarity, Progressive alignment"
244,Colonel Blimp,2,B l i m p s,0 1 2 3 4 6,B l i m p -,- s,"User features, features similarity, Progressive alignment"
245,Colt,0,C o l t,0 1 2 3,C o l t -,-,"User features, features similarity, Progressive alignment"
246,Colt,1,C o l t s,0 1 2 3 4,C o l t -,- s,"User features, features similarity, Progressive alignment"
247,Communist,0,C o m m u n i s t,0 1 2 3 4 5 6 7 8,C o m m u n i s t -,-,"User features, features similarity, Progressive alignment"
248,Communist,1,C o m m u n i s t s,0 1 2 3 4 5 6 7 8 9,C o m m u n i s t -,- s,"User features, features similarity, Progressive alignment"
249,Confucian,0,C o n f u c i a n,0 1 2 3 4 5 6 7 8,C o n f u c i a n -,-,"User features, features similarity, Progressive alignment"
250,Confucian,1,C o n f u c i a n i s m,0 1 2 3 4 5 6 7 8 9 10 11,C o n f u c i a n -,- i s m,"User features, features similarity, Progressive alignment"
251,Confucian,2,C o n f u c i a n s,0 1 2 3 4 5 6 7 8 10,C o n f u c i a n -,- s,"User features, features similarity, Progressive alignment"
252,Congolese,0,C o n g o l e s e,0 1 2 3 4 5 6 7 8,C o n g o l e s e,-,"User features, features similarity, Progressive alignment"
253,Conservative,0,C o n s e r v a t i v e,0 1 2 3 4 5 6 7 8 9 10 11,C o n s e r v a t i v e -,-,"User features, features similarity, Progressive alignment"
254,Conservative,1,C o n s e r v a t i v e s,0 1 2 3 4 5 6 7 8 9 10 11 12,C o n s e r v a t i v e -,- s,"User features, features similarity, Progressive alignment"
255,Copt,0,C o p t,0 1 2 3,C o p t -,-,"User features, features similarity, Progressive alignment"
256,Copt,1,C o p t i c,0 1 2 3 4 5,C o p t -,- i c,"User features, features similarity, Progressive alignment"
257,Copt,2,C o p t s,0 1 2 3 5,C o p t -,- s,"User features, features similarity, Progressive alignment"
258,Coptic,0,C o p t i c,0 1 2 3 4 5,C o p t i c,-,"User features, features similarity, Progressive alignment"
259,Corinthian,0,C o r i n t h i a n,0 1 2 3 4 5 6 7 8 9,C o r i n t h i a n -,-,"User features, features similarity, Progressive alignment"
260,Corinthian,1,C o r i n t h i a n s,0 1 2 3 4 5 6 7 8 9 10,C o r i n t h i a n -,- s,"User features, features similarity, Progressive alignment"
261,Creole,0,C r e o l e,0 1 2 3 4 5,C r e o l e,-,"User features, features similarity, Progressive alignment"
262,Cuban,0,C u b a n,0 1 2 3 4,C u b a n -,-,"User features, features similarity, Progressive alignment"
263,Cuban,1,C u b a n s,0 1 2 3 4 5,C u b a n -,- s,"User features, features similarity, Progressive alignment"
264,Cypriot,0,C y p r i o t,0 1 2 3 4 5 6,C y p r i o t -,-,"User features, features similarity, Progressive alignment"
265,Cypriot,1,C y p r i o t s,0 1 2 3 4 5 6 7,C y p r i o t -,- s,"User features, features similarity, Progressive alignment"
266,Cyrillic,0,C y r i l l i c,0 1 2 3 4 5 6 7,C y r i l l i c,-,"User features, features similarity, Progressive alignment"
267,Czech,0,C z e c h,0 1 2 3 4,C z e c h -,-,"User features, features similarity, Progressive alignment"
268,Czech,1,C z e c h s,0 1 2 3 4 5,C z e c h -,- s,"User features, features similarity, Progressive alignment"
269,Czechoslovak,0,C z e c h o s l o v a k,0 1 2 3 4 5 6 7 8 9 10 11,C z e c h o s l o v a k -,-,"User features, features similarity, Progressive alignment"
270,Czechoslovak,1,C z e c h o s l o v a k s,0 1 2 3 4 5 6 7 8 9 10 11 12,C z e c h o s l o v a k -,- s,"User features, features similarity, Progressive alignment"
271,Czechoslovakian,0,C z e c h o s l o v a k i a n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,C z e c h o s l o v a k i a n -,-,"User features, features similarity, Progressive alignment"
272,Czechoslovakian,1,C z e c h o s l o v a k i a n s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,C z e c h o s l o v a k i a n -,- s,"User features, features similarity, Progressive alignment"
273,Dane,0,D a n e,0 1 2 3,D a n -,- e,"User features, features similarity, Progressive alignment"
274,Dane,1,D a n e s,0 1 2 3 4,D a n -,- e s,"User features, features similarity, Progressive alignment"
275,Dane,2,D a n i s h,0 1 2 3 4 5,D a n -,- i s h,"User features, features similarity, Progressive alignment"
276,Daniel,0,D a n i e l,0 1 2 3 4 5,D a n i e l -,-,"User features, features similarity, Progressive alignment"
277,Daniel,1,D a n i e l s,0 1 2 3 4 5 6,D a n i e l -,- s,"User features, features similarity, Progressive alignment"
278,Danish,0,D a n i s h,0 1 2 3 4 5,D a n i s h,-,"User features, features similarity, Progressive alignment"
279,Davenport,0,d a v e n p o r t,0 1 2 3 4 5 6 7 8,d a v e n p o r t -,-,"User features, features similarity, Progressive alignment"
280,Davenport,1,d a v e n p o r t s,0 1 2 3 4 5 6 7 8 9,d a v e n p o r t -,- s,"User features, features similarity, Progressive alignment"
281,Democrat,0,D e m o c r a t,0 1 2 3 4 5 6 7,D e m o c r a t -,-,"User features, features similarity, Progressive alignment"
282,Democrat,1,D e m o c r a t i c,0 1 2 3 4 5 6 7 8 9,D e m o c r a t -,- i c,"User features, features similarity, Progressive alignment"
283,Democrat,2,D e m o c r a t s,0 1 2 3 4 5 6 7 8,D e m o c r a t -,- s,"User features, features similarity, Progressive alignment"
284,Dictaphone,0,D i c t a p h o n e,0 1 2 3 4 5 6 7 8 9,D i c t a p h o n e -,-,"User features, features similarity, Progressive alignment"
285,Dictaphone,1,D i c t a p h o n e s,0 1 2 3 4 5 6 7 8 9 10,D i c t a p h o n e -,- s,"User features, features similarity, Progressive alignment"
286,Djiboutian,0,D j i b o u t i a n,0 1 2 3 4 5 6 7 8 9,D j i b o u t i a n -,-,"User features, features similarity, Progressive alignment"
287,Djiboutian,1,D j i b o u t i a n s,0 1 2 3 4 5 6 7 8 9 10,D j i b o u t i a n -,- s,"User features, features similarity, Progressive alignment"
288,Dominican,0,D o m i n i c a n,0 1 2 3 4 5 6 7 8,D o m i n i c a n -,-,"User features, features similarity, Progressive alignment"
289,Dominican,1,D o m i n i c a n s,0 1 2 3 4 5 6 7 8 9,D o m i n i c a n -,- s,"User features, features similarity, Progressive alignment"
290,Doric,0,D o r i c,0 1 2 3 4,D o r i c,-,"User features, features similarity, Progressive alignment"
291,Dutch,0,D u t c h,0 2 8 9 10,- u - t c h -,D -,"User features, features similarity, Progressive alignment"
292,Dutch,1,D u t c h m a n,0 2 8 9 10 11 12 13,- u - t c h -,D - m a n,"User features, features similarity, Progressive alignment"
293,Dutch,2,D u t c h m e n,0 2 8 9 10 11 12 13,- u - t c h -,D - m e n,"User features, features similarity, Progressive alignment"
294,Dutch,3,d o u b l e - d u t c h,0 1 2 3 4 5 6 7 8 9 10,- u - t c h -,d o - b l e d u -,"User features, features similarity, Progressive alignment"
295,Easter,0,E a s t e r,0 1 2 3 4 5,E a s t e r -,-,"User features, features similarity, Progressive alignment"
296,Easter,1,E a s t e r s,0 1 2 3 4 5 6,E a s t e r -,- s,"User features, features similarity, Progressive alignment"
297,Ecuadorian,0,E c u a d o r i a n,0 1 2 3 4 5 6 7 8 9,E c u a d o r i a n -,-,"User features, features similarity, Progressive alignment"
298,Ecuadorian,1,E c u a d o r i a n s,0 1 2 3 4 5 6 7 8 9 10,E c u a d o r i a n -,- s,"User features, features similarity, Progressive alignment"
299,Edam,0,E d a m,0 1 2 3,E d a m -,-,"User features, features similarity, Progressive alignment"
300,Edam,1,E d a m s,0 1 2 3 4,E d a m -,- s,"User features, features similarity, Progressive alignment"
301,Egyptian,0,E g y p t i a n,0 1 2 3 4 5 6 7,E g y p t i a n -,-,"User features, features similarity, Progressive alignment"
302,Egyptian,1,E g y p t i a n s,0 1 2 3 4 5 6 7 8,E g y p t i a n -,- s,"User features, features similarity, Progressive alignment"
303,Elizabethan,0,E l i z a b e t h a n,0 1 2 3 4 5 6 7 8 9 10,E l i z a b e t h a n -,-,"User features, features similarity, Progressive alignment"
304,Elizabethan,1,E l i z a b e t h a n s,0 1 2 3 4 5 6 7 8 9 10 11,E l i z a b e t h a n -,- s,"User features, features similarity, Progressive alignment"
305,Emmenthaler,0,E m m e n t h a l e r,0 1 2 3 4 5 6 7 8 9 10,E m m e n t h a l e r,-,"User features, features similarity, Progressive alignment"
306,Empire,0,E m p i r e,0 1 2 3 4 5,E m p i r e,-,"User features, features similarity, Progressive alignment"
307,English,0,E n g l i s h,0 1 2 3 4 5 6,E n g l i s h -,-,"User features, features similarity, Progressive alignment"
308,English,1,E n g l i s h m a n,0 1 2 3 4 5 6 9 10 11,E n g l i s h -,- m a n,"User features, features similarity, Progressive alignment"
309,English,2,E n g l i s h m e n,0 1 2 3 4 5 6 9 10 11,E n g l i s h -,- m e n,"User features, features similarity, Progressive alignment"
310,English,3,E n g l i s h w o m a n,0 1 2 3 4 5 6 7 8 9 10 11,E n g l i s h -,- w o m a n,"User features, features similarity, Progressive alignment"
311,English,4,E n g l i s h w o m e n,0 1 2 3 4 5 6 7 8 9 10 11,E n g l i s h -,- w o m e n,"User features, features similarity, Progressive alignment"
312,Epicurean,0,E p i c u r e a n,0 1 2 3 4 5 6 7 8,E p i c u r e a n -,-,"User features, features similarity, Progressive alignment"
313,Epicurean,1,E p i c u r e a n s,0 1 2 3 4 5 6 7 8 9,E p i c u r e a n -,- s,"User features, features similarity, Progressive alignment"
314,Epiphany,0,E p i p h a n y,0 1 2 3 4 5 6 7,E p i p h a n y,-,"User features, features similarity, Progressive alignment"
315,Eritrean,0,E r i t r e a n,0 1 2 3 4 5 6 7,E r i t r e a n -,-,"User features, features similarity, Progressive alignment"
316,Eritrean,1,E r i t r e a n s,0 1 2 3 4 5 6 7 8,E r i t r e a n -,- s,"User features, features similarity, Progressive alignment"
317,Erse,0,E r s e,0 1 2 3,E r s e,-,"User features, features similarity, Progressive alignment"
318,Eskimo,0,E s k i m o,0 1 2 3 4 5,E s k i m o -,-,"User features, features similarity, Progressive alignment"
319,Eskimo,1,E s k i m o s,0 1 2 3 4 5 6,E s k i m o -,- s,"User features, features similarity, Progressive alignment"
320,Esperanto,0,E s p e r a n t o,0 1 2 3 4 5 6 7 8,E s p e r a n t o,-,"User features, features similarity, Progressive alignment"
321,Ethiopian,0,E t h i o p i a n,0 1 2 3 4 5 6 7 8,E t h i o p i a n -,-,"User features, features similarity, Progressive alignment"
322,Ethiopian,1,E t h i o p i a n s,0 1 2 3 4 5 6 7 8 9,E t h i o p i a n -,- s,"User features, features similarity, Progressive alignment"
323,Eurasian,0,E u r a s i a n,0 1 2 3 4 5 6 7,E u r a s i a n -,-,"User features, features similarity, Progressive alignment"
324,Eurasian,1,E u r a s i a n s,0 1 2 3 4 5 6 7 8,E u r a s i a n -,- s,"User features, features similarity, Progressive alignment"
325,European,0,E u r o p e a n,4 5 6 7 8 9 10 11,- E u r o p e a n -,-,"User features, features similarity, Progressive alignment"
326,European,1,E u r o p e a n s,4 5 6 7 8 9 10 11 12,- E u r o p e a n -,- s,"User features, features similarity, Progressive alignment"
327,European,2,I n d o - E u r o p e a n,0 1 2 3 4 5 6 7 8 9 10 11,- E u r o p e a n -,I n d o -,"User features, features similarity, Progressive alignment"
328,Fabian,0,F a b i a n,0 1 2 3 4 5,F a b i a n -,-,"User features, features similarity, Progressive alignment"
329,Fabian,1,F a b i a n s,0 1 2 3 4 5 6,F a b i a n -,- s,"User features, features similarity, Progressive alignment"
330,Fahrenheit,0,F a h r e n h e i t,0 1 2 3 4 5 6 7 8 9,F a h r e n h e i t,-,"User features, features similarity, Progressive alignment"
331,Farsi,0,F a r s i,0 1 2 3 4,F a r s i,-,"User features, features similarity, Progressive alignment"
332,Federalist,0,f e d e r a l i s t,0 1 2 3 4 5 6 7 8 9,f e d e r a l i s t -,-,"User features, features similarity, Progressive alignment"
333,Federalist,1,f e d e r a l i s t s,0 1 2 3 4 5 6 7 8 9 10,f e d e r a l i s t -,- s,"User features, features similarity, Progressive alignment"
334,Fijian,0,F i j i a n,0 1 2 3 4 5,F i j i a n -,-,"User features, features similarity, Progressive alignment"
335,Fijian,1,F i j i a n s,0 1 2 3 4 5 6,F i j i a n -,- s,"User features, features similarity, Progressive alignment"
336,Filipino,0,F i l i p i n o,0 1 2 3 4 5 6 7,F i l i p i n o -,-,"User features, features similarity, Progressive alignment"
337,Filipino,1,F i l i p i n o s,0 1 2 3 4 5 6 7 8,F i l i p i n o -,- s,"User features, features similarity, Progressive alignment"
338,Finn,0,F i n n,0 1 2 3,F i n n -,-,"User features, features similarity, Progressive alignment"
339,Finn,1,F i n n i s h,0 1 2 3 4 5 6,F i n n -,- i s h,"User features, features similarity, Progressive alignment"
340,Finn,2,F i n n s,0 1 2 3 5,F i n n -,- s,"User features, features similarity, Progressive alignment"
341,Finnish,0,F i n n i s h,0 1 2 3 4 5 6,F i n n i s h,-,"User features, features similarity, Progressive alignment"
342,Flemish,0,F l e m i s h,0 1 2 3 4 5 6,F l e m i s h,-,"User features, features similarity, Progressive alignment"
343,Franciscan,0,F r a n c i s c a n,0 1 2 3 4 5 6 7 8 9,F r a n c i s c a n -,-,"User features, features similarity, Progressive alignment"
344,Franciscan,1,F r a n c i s c a n s,0 1 2 3 4 5 6 7 8 9 10,F r a n c i s c a n -,- s,"User features, features similarity, Progressive alignment"
345,Frank,0,F r a n k,0 1 2 3 4,F r a n k -,-,"User features, features similarity, Progressive alignment"
346,Frank,1,F r a n k s,0 1 2 3 4 5,F r a n k -,- s,"User features, features similarity, Progressive alignment"
347,French,0,F r e n c h,0 1 2 3 4 5,F r e n c h -,-,"User features, features similarity, Progressive alignment"
348,French,1,F r e n c h m a n,0 1 2 3 4 5 8 9 10,F r e n c h -,- m a n,"User features, features similarity, Progressive alignment"
